date,location,vaccine,total_vaccinations
2021-01-01,Liechtenstein,Moderna,0
2021-01-01,Liechtenstein,Pfizer/BioNTech,0
2021-01-02,Liechtenstein,Moderna,0
2021-01-02,Liechtenstein,Pfizer/BioNTech,0
2021-01-03,Liechtenstein,Moderna,0
2021-01-03,Liechtenstein,Pfizer/BioNTech,0
2021-01-04,Liechtenstein,Moderna,0
2021-01-04,Liechtenstein,Pfizer/BioNTech,0
2021-01-05,Liechtenstein,Moderna,0
2021-01-05,Liechtenstein,Pfizer/BioNTech,0
2021-01-06,Liechtenstein,Moderna,0
2021-01-06,Liechtenstein,Pfizer/BioNTech,0
2021-01-07,Liechtenstein,Moderna,0
2021-01-07,Liechtenstein,Pfizer/BioNTech,0
2021-01-08,Liechtenstein,Moderna,0
2021-01-08,Liechtenstein,Pfizer/BioNTech,5
2021-01-09,Liechtenstein,Moderna,0
2021-01-09,Liechtenstein,Pfizer/BioNTech,5
2021-01-10,Liechtenstein,Moderna,0
2021-01-10,Liechtenstein,Pfizer/BioNTech,5
2021-01-11,Liechtenstein,Moderna,0
2021-01-11,Liechtenstein,Pfizer/BioNTech,5
2021-01-12,Liechtenstein,Moderna,0
2021-01-12,Liechtenstein,Pfizer/BioNTech,5
2021-01-13,Liechtenstein,Moderna,0
2021-01-13,Liechtenstein,Pfizer/BioNTech,5
2021-01-14,Liechtenstein,Moderna,0
2021-01-14,Liechtenstein,Pfizer/BioNTech,5
2021-01-15,Liechtenstein,Moderna,5
2021-01-15,Liechtenstein,Pfizer/BioNTech,42
2021-01-16,Liechtenstein,Moderna,5
2021-01-16,Liechtenstein,Pfizer/BioNTech,42
2021-01-17,Liechtenstein,Moderna,5
2021-01-17,Liechtenstein,Pfizer/BioNTech,42
2021-01-18,Liechtenstein,Moderna,5
2021-01-18,Liechtenstein,Pfizer/BioNTech,42
2021-01-19,Liechtenstein,Moderna,5
2021-01-19,Liechtenstein,Pfizer/BioNTech,42
2021-01-20,Liechtenstein,Moderna,5
2021-01-20,Liechtenstein,Pfizer/BioNTech,42
2021-01-21,Liechtenstein,Moderna,5
2021-01-21,Liechtenstein,Pfizer/BioNTech,42
2021-01-22,Liechtenstein,Moderna,43
2021-01-22,Liechtenstein,Pfizer/BioNTech,19
2021-01-23,Liechtenstein,Moderna,43
2021-01-23,Liechtenstein,Pfizer/BioNTech,19
2021-01-24,Liechtenstein,Moderna,43
2021-01-24,Liechtenstein,Pfizer/BioNTech,19
2021-01-25,Liechtenstein,Moderna,43
2021-01-25,Liechtenstein,Pfizer/BioNTech,19
2021-01-26,Liechtenstein,Moderna,43
2021-01-26,Liechtenstein,Pfizer/BioNTech,19
2021-01-27,Liechtenstein,Moderna,43
2021-01-27,Liechtenstein,Pfizer/BioNTech,19
2021-01-28,Liechtenstein,Moderna,43
2021-01-28,Liechtenstein,Pfizer/BioNTech,19
2021-01-29,Liechtenstein,Moderna,9
2021-01-29,Liechtenstein,Pfizer/BioNTech,6
2021-01-30,Liechtenstein,Moderna,9
2021-01-30,Liechtenstein,Pfizer/BioNTech,6
2021-01-31,Liechtenstein,Moderna,9
2021-01-31,Liechtenstein,Pfizer/BioNTech,6
2021-02-01,Liechtenstein,Moderna,9
2021-02-01,Liechtenstein,Pfizer/BioNTech,6
2021-02-02,Liechtenstein,Moderna,9
2021-02-02,Liechtenstein,Pfizer/BioNTech,6
