date,location,vaccine,total_vaccinations
2021-01-01,Netherlands,Moderna,0
2021-01-01,Netherlands,Novavax,0
2021-01-01,Netherlands,Oxford/AstraZeneca,0
2021-01-01,Netherlands,Pfizer/BioNTech,4968
2021-01-02,Netherlands,Moderna,0
2021-01-02,Netherlands,Novavax,0
2021-01-02,Netherlands,Oxford/AstraZeneca,0
2021-01-02,Netherlands,Pfizer/BioNTech,4968
2021-01-03,Netherlands,Moderna,0
2021-01-03,Netherlands,Novavax,0
2021-01-03,Netherlands,Oxford/AstraZeneca,0
2021-01-03,Netherlands,Pfizer/BioNTech,4968
2021-01-04,Netherlands,Moderna,0
2021-01-04,Netherlands,Novavax,0
2021-01-04,Netherlands,Oxford/AstraZeneca,0
2021-01-04,Netherlands,Pfizer/BioNTech,4968
2021-01-05,Netherlands,Moderna,0
2021-01-05,Netherlands,Novavax,0
2021-01-05,Netherlands,Oxford/AstraZeneca,0
2021-01-05,Netherlands,Pfizer/BioNTech,4968
2021-01-06,Netherlands,Moderna,0
2021-01-06,Netherlands,Novavax,0
2021-01-06,Netherlands,Oxford/AstraZeneca,0
2021-01-06,Netherlands,Pfizer/BioNTech,4968
2021-01-07,Netherlands,Moderna,0
2021-01-07,Netherlands,Novavax,0
2021-01-07,Netherlands,Oxford/AstraZeneca,0
2021-01-07,Netherlands,Pfizer/BioNTech,4968
2021-01-08,Netherlands,Moderna,0
2021-01-08,Netherlands,Novavax,0
2021-01-08,Netherlands,Oxford/AstraZeneca,24
2021-01-08,Netherlands,Pfizer/BioNTech,6017
2021-01-09,Netherlands,Moderna,0
2021-01-09,Netherlands,Novavax,0
2021-01-09,Netherlands,Oxford/AstraZeneca,24
2021-01-09,Netherlands,Pfizer/BioNTech,6017
2021-01-10,Netherlands,Moderna,0
2021-01-10,Netherlands,Novavax,0
2021-01-10,Netherlands,Oxford/AstraZeneca,24
2021-01-10,Netherlands,Pfizer/BioNTech,6017
2021-01-11,Netherlands,Moderna,0
2021-01-11,Netherlands,Novavax,0
2021-01-11,Netherlands,Oxford/AstraZeneca,24
2021-01-11,Netherlands,Pfizer/BioNTech,6017
2021-01-12,Netherlands,Moderna,0
2021-01-12,Netherlands,Novavax,0
2021-01-12,Netherlands,Oxford/AstraZeneca,24
2021-01-12,Netherlands,Pfizer/BioNTech,6017
2021-01-13,Netherlands,Moderna,0
2021-01-13,Netherlands,Novavax,0
2021-01-13,Netherlands,Oxford/AstraZeneca,24
2021-01-13,Netherlands,Pfizer/BioNTech,6017
2021-01-14,Netherlands,Moderna,0
2021-01-14,Netherlands,Novavax,0
2021-01-14,Netherlands,Oxford/AstraZeneca,24
2021-01-14,Netherlands,Pfizer/BioNTech,6017
2021-01-15,Netherlands,Moderna,582
2021-01-15,Netherlands,Novavax,0
2021-01-15,Netherlands,Oxford/AstraZeneca,1
